"Lat","Lon"
-25.25,137.5
-25.75,137.5
-26.25,137.5
-26.75,137.5
-27.25,137.5
-27.75,137.5
-28.25,137.5
-28.75,137.5
-29.25,137.5
-29.75,137.5
-30.25,137.5
-30.75,137.5
-31.25,137.5
-31.75,137.5
-32.25,137.5
-32.75,137.5
-34.25,137.5
-34.75,137.5
-35.75,137.5
-17.25,138.5
-17.75,138.5
-18.25,138.5
-18.75,138.5
-19.25,138.5
-19.75,138.5
-20.25,138.5
-20.75,138.5
-21.25,138.5
-21.75,138.5
-22.25,138.5
-22.75,138.5
-23.25,138.5
-23.75,138.5
-24.25,138.5
-24.75,138.5
-25.25,138.5
-25.75,138.5
-26.25,138.5
-26.75,138.5
-27.25,138.5
-27.75,138.5
-28.25,138.5
-28.75,138.5
-29.25,138.5
-29.75,138.5
-30.25,138.5
-30.75,138.5
-31.25,138.5
-31.75,138.5
-32.25,138.5
-32.75,138.5
-33.25,138.5
-33.75,138.5
-34.25,138.5
-35.25,138.5
-17.75,139.5
-18.25,139.5
-18.75,139.5
-19.25,139.5
-19.75,139.5
-20.25,139.5
-20.75,139.5
-21.25,139.5
-21.75,139.5
-22.25,139.5
-22.75,139.5
-23.25,139.5
-23.75,139.5
-24.25,139.5
-24.75,139.5
-25.25,139.5
-25.75,139.5
-26.25,139.5
-26.75,139.5
-27.25,139.5
-27.75,139.5
-28.25,139.5
-28.75,139.5
-29.25,139.5
-29.75,139.5
-30.25,139.5
-30.75,139.5
-31.25,139.5
-31.75,139.5
-32.25,139.5
-32.75,139.5
-33.25,139.5
-33.75,139.5
-34.25,139.5
-34.75,139.5
-35.25,139.5
-35.75,139.5
-17.75,140.5
-18.25,140.5
-18.75,140.5
-19.25,140.5
-19.75,140.5
-20.25,140.5
-20.75,140.5
-21.25,140.5
-21.75,140.5
-22.25,140.5
-22.75,140.5
-23.25,140.5
-23.75,140.5
-24.25,140.5
-24.75,140.5
-25.25,140.5
-25.75,140.5
-26.25,140.5
-26.75,140.5
-27.25,140.5
-27.75,140.5
-28.25,140.5
-28.75,140.5
-29.25,140.5
-29.75,140.5
-30.25,140.5
-30.75,140.5
-31.25,140.5
-31.75,140.5
-32.25,140.5
-32.75,140.5
-33.25,140.5
-33.75,140.5
-34.25,140.5
-34.75,140.5
-35.25,140.5
-35.75,140.5
-36.25,140.5
-36.75,140.5
-37.25,140.5
-37.75,140.5
-13.75,141.5
-15.75,141.5
-16.25,141.5
-16.75,141.5
-17.25,141.5
-17.75,141.5
-18.25,141.5
-18.75,141.5
-19.25,141.5
-19.75,141.5
-20.25,141.5
-20.75,141.5
-21.25,141.5
-21.75,141.5
-22.25,141.5
-22.75,141.5
-23.25,141.5
-23.75,141.5
