"Station","Latitude","Longitude"
"043080","-27.2275"," 148.7411"
"047058","-32.3902"," 142.4164"
"035014","-26.1206"," 149.9614"
"033080","-21.0003"," 148.7375"
"041212","-27.2074"," 151.6764"
"015521","-23.2837"," 134.4229"
"088073","-37.1277"," 144.6924"
"040395","-27.7183"," 152.1211"
"089048","-37.5170"," 143.9275"
"055078","-31.4149"," 151.0896"
"061093","-33.3639"," 151.3276"
"092048","-41.0228"," 147.9583"
"039205","-24.8725"," 150.8236"
"040534","-28.1629"," 153.2641"
"085160","-38.4191"," 146.9656"
"010691","-33.0964"," 117.4047"
"041388","-28.0550"," 151.3297"
"091082","-40.9272"," 144.7489"
"041134","-28.3128"," 152.4025"
"069041","-35.2514"," 149.9158"
"009631","-33.6031"," 121.7828"
"062003","-32.6657"," 149.1016"
"004033","-21.0561"," 117.4436"
"040259","-26.8933"," 151.8975"
"013002","-25.2661"," 122.0433"
"090076","-38.6602"," 143.7033"
"018203","-34.3438"," 136.0470"
"074208","-35.6074"," 145.2012"
"043093","-26.6064"," 148.5372"
"006070","-24.3058"," 114.5003"
"088037","-37.2535"," 144.3825"
"087040","-37.7451"," 144.5687"
"084028","-37.7279"," 148.0958"
"035194","-24.9606"," 148.5311"
"017032","-30.9904"," 138.5787"
"040069","-25.3944"," 152.4331"
"031107","-15.4211"," 145.0622"
"010036","-31.7972"," 117.3614"
"041014","-28.3541"," 151.6281"
"039092","-24.6792"," 152.1881"
"015626","-22.3959"," 134.2333"
"070040","-34.6866"," 149.5535"
"009666","-33.5964"," 116.3347"
"057119","-30.8890"," 151.8547"
"055056","-31.7273"," 150.5126"
"069052","-35.7343"," 150.0508"
"009024","-31.5608"," 116.0842"
"061151","-32.2426"," 151.6830"
"086094","-37.8615"," 145.7443"
"009657","-33.2947"," 115.7706"
"031158","-18.2531"," 145.1269"
"021120","-33.2549"," 138.7867"
"039222","-24.6619"," 150.9633"
"031012","-16.0969"," 145.4575"
"090026","-37.3443"," 141.6861"
"029000","-18.2952"," 139.2828"
"070111","-34.5612"," 149.2497"
"092047","-42.2683"," 147.6936"
"046002","-29.7656"," 143.1142"
"017041","-30.9372"," 138.8919"
"050010","-33.5159"," 147.2541"
"042048","-26.9269"," 150.1419"
"007024","-28.2731"," 117.1544"
"040301","-27.1882"," 151.9634"
"042078","-26.9186"," 150.4722"
"039103","-24.7842"," 151.2281"
"023823","-35.4123"," 138.5751"
"062035","-32.0791"," 149.6050"
"005009","-22.6331"," 119.4081"
"033053","-21.0011"," 148.9364"
"016035","-30.4027"," 136.3920"
"041377","-28.3415"," 151.5369"
"044071","-26.6300"," 145.0147"
"040609","-28.1178"," 153.4457"
"026017","-36.5010"," 140.3835"
"022815","-35.7255"," 137.2591"
"009000","-32.1247"," 116.1025"
"033151","-19.5953"," 146.9342"
"036092","-22.4583"," 144.8339"
"062099","-32.8366"," 148.9963"
"019043","-32.9495"," 138.5174"
