st,058059,58  ,ULMARRA (NEWSAGENCY)                    ,01/1891,       ,-29.6309, 153.0287,GPS            ,NSW,   5.0,      ,     ,2003,2018,#
st,010647,10A ,WAGIN                                   ,01/1891,       ,-33.3075, 117.3403,GPS            ,WA , 256.0,      ,95618,2003,2018,#
st,092001,92  ,APSLAWN                                 ,01/1890,       ,-41.9525, 148.1839,GPS            ,TAS,  10.0,      ,     ,2003,2018,#
st,022021,22A ,ARDROSSAN (WINULTA)                     ,01/1890,       ,-34.2782, 137.8607,GPS            ,SA , 135.0,      ,     ,2003,2018,#
st,024501,24B ,AUSTRALIA PLAINS                        ,09/1890,       ,-34.0971, 139.1564,GPS            ,SA , 281.0,      ,     ,2003,2018,#
st,035007,35  ,BAUHINIA DOWNS STORE                    ,01/1890,       ,-24.5711, 149.2922,               ,QLD, 146.0,      ,     ,2003,2018,#
st,077008,77  ,BIRCHIP (WOODLANDS)                     ,07/1890,       ,-35.9244, 142.8510,GPS            ,VIC, 100.0,      ,     ,2003,2018,#
st,075007,75  ,BOOLIGAL (BELMONT)                      ,01/1890,       ,-33.8436, 144.9073,GPS            ,NSW,  95.0,      ,     ,2003,2018,#
st,025502,25B ,COOKE PLAINS                            ,11/1890,       ,-35.3790, 139.5617,GPS            ,SA ,   6.0,      ,     ,2003,2018,#
st,074034,74  ,COROWA AIRPORT                          ,01/1890,       ,-35.9887, 146.3574,GPS            ,NSW, 143.0,      ,95895,2003,2018,#
st,079011,79  ,EDENHOPE (POST OFFICE)                  ,01/1890,       ,-37.0364, 141.2967,GPS            ,VIC, 162.0,      ,     ,2003,2018,#
st,039036,39  ,EIDSVOLD POST OFFICE                    ,01/1890,       ,-25.3706, 151.1222,GPS            ,QLD, 197.0,      ,     ,2003,2018,#
st,082015,82  ,ELDORADO                                ,06/1890,       ,-36.3084, 146.5229,GPS            ,VIC, 195.0,      ,     ,2003,2018,#
st,092019,92  ,LAKE LEAKE (ELIZABETH RIVER)            ,01/1890,       ,-42.0067, 147.7975,GPS            ,TAS, 575.0,      ,94979,2003,2018,#
st,032032,32  ,MACKNADE SUGAR MILL                     ,01/1890,       ,-18.5867, 146.2547,GPS            ,QLD,   8.0,      ,     ,2003,2018,#
st,021033,21  ,MINTARO                                 ,01/1890,       ,-33.9136, 138.7195,GPS            ,SA , 418.0,      ,     ,2003,2018,#
st,200288,200 ,NORFOLK ISLAND AERO                     ,01/1890,       ,-29.0389, 167.9408,GPS            ,NSW, 111.7, 116.7,94996,2003,2018,#
